Boro-Block-Lot,Condominium_Coop,Address,Neighborhood,Building Code,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Gross_Income_per_Sqmeter,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Financial_Year,t,id,D_Nearestb4,D_Nearestafter,Delta_Dis_Nearest,Type,Location_1,Location_2,Location_3,Location_4,Y_2016,Y_2017,Y_2018,AllSta_1000 ,No_NewSta_1000,NewSta_1000,y,x
1-01419-7502,0529-R1,200 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,295,1987,"318,183","16,507,334",51.88,557.8494624,"3,974,106",12.49,"12,533,228","100,288,012",315.19,2016,1,456,166.1455046,166.1455046,0,1,1,0,0,0,1,0,0,5,1,1,40.7649552,-73.9634835
1-01419-7502,0529-R1,200 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,295,1987,"318,183","16,685,517",52.44,563.8709677,"4,005,924",12.59,"12,679,593","101,438,010",318.8,2017,2,456,166.1455046,166.1455046,0,1,1,0,0,0,0,1,0,5,1,1,40.7649552,-73.9634835
1-01419-7502,0529-R1,200 EAST 65 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,295,1987,"318,183","17,073,700",53.66,576.9892473,"4,865,018",15.29,"12,208,682","98,259,002",308.81,2018,3,456,166.1455046,166.1455046,0,1,1,0,0,0,0,0,1,5,1,1,40.7649552,-73.9634835
1-01492-7501,0531-R1,45 EAST 80 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,50,1987,"101,117","5,359,201",53,569.8924731,"1,650,229",16.32,"3,708,972","29,678,995",293.51,2016,1,1135,394.5138675,394.5138675,0,1,1,0,0,0,1,0,0,4,2,1,40.777008,-73.961196
1-01492-7501,0531-R1,45 EAST 80 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,50,1987,"101,117","5,273,252",52.15,560.7526882,"1,372,158",13.57,"3,901,094","31,205,996",308.61,2017,2,1135,394.5138675,394.5138675,0,1,1,0,0,0,0,1,0,4,2,1,40.777008,-73.961196
1-01492-7501,0531-R1,45 EAST 80 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,50,1987,"101,117","5,238,872",51.81,557.0967742,"1,165,879",11.53,"4,072,993","32,782,999",324.21,2018,3,1135,394.5138675,394.5138675,0,1,1,0,0,0,0,0,1,4,2,1,40.777008,-73.961196
1-01398-7502,0543-R1,139 EAST 63 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,52,1962,"90,629","3,953,237",43.62,469.0322581,"1,511,692",16.68,"2,441,545","19,537,000",215.57,2016,1,242,102.774463,102.774463,0,1,1,0,0,0,1,0,0,5,1,1,40.7647349,-73.9660833
1-01398-7502,0543-R1,139 EAST 63 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,52,1962,"90,629","4,434,477",48.93,526.1290323,"1,640,385",18.1,"2,794,092","22,348,000",246.59,2017,2,242,102.774463,102.774463,0,1,1,0,0,0,0,1,0,5,1,1,40.7647349,-73.9660833
1-01398-7502,0543-R1,139 EAST 63 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,52,1962,"90,629","4,596,703",50.72,545.3763441,"1,714,701",18.92,"2,882,002","23,197,000",255.96,2018,3,242,102.774463,102.774463,0,1,1,0,0,0,0,0,1,5,1,1,40.7647349,-73.9660833
1-01436-7502,0546-R1,350 EAST 62 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,93,1977,"66,688","2,822,903",42.33,455.1612903,"981,647",14.72,"1,841,256","14,734,004",220.94,2016,1,993,445.0130014,445.0130014,0,1,1,0,0,0,1,0,0,4,1,1,40.7615278,-73.9611465
1-01436-7502,0546-R1,350 EAST 62 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,93,1977,"66,688","2,864,250",42.95,461.827957,"973,645",14.6,"1,890,605","15,122,017",226.76,2017,2,993,445.0130014,445.0130014,0,1,1,0,0,0,0,1,0,4,1,1,40.7615278,-73.9611465
1-01436-7502,0546-R1,350 EAST 62 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,93,1916,"66,688","3,092,989",46.38,498.7096774,"1,272,407",19.08,"1,820,582","14,654,008",219.74,2018,3,993,445.0130014,445.0130014,0,1,1,0,0,0,0,0,1,4,1,1,40.7615278,-73.9611465
1-01435-7501,0553-R1,303 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,157,1986,"112,099","5,465,947",48.76,524.3010753,"1,625,436",14.5,"3,840,511","30,731,001",274.14,2016,1,779,347.4185883,347.4185883,0,1,1,0,0,0,1,0,0,5,1,1,40.761444,-73.963072
1-01435-7501,0553-R1,303 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,157,1986,"112,099","5,554,505",49.55,532.7956989,"1,610,863",14.37,"3,943,642","31,546,996",281.42,2017,2,779,347.4185883,347.4185883,0,1,1,0,0,0,0,1,0,5,1,1,40.761444,-73.963072
1-01435-7501,0553-R1,303 EAST 60 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,157,1986,"112,099","5,935,642",52.95,569.3548387,"1,827,214",16.3,"4,108,428","33,068,003",294.99,2018,3,779,347.4185883,347.4185883,0,1,1,0,0,0,0,0,1,5,1,1,40.761444,-73.963072
1-01409-7502,0573-R1,1040 LEXINGTON AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,55,1929,"117,892","5,819,149",49.36,530.7526882,"2,111,446",17.91,"3,707,703","29,669,000",251.66,2016,1,47,215.5220388,215.5220388,0,1,1,0,0,0,1,0,0,5,1,1,40.7720402,-73.9611857
1-01409-7502,0573-R1,1040 LEXINGTON AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,55,1929,"117,892","5,823,865",49.4,531.1827957,"2,219,906",18.83,"3,603,959","28,829,000",244.54,2017,2,47,215.5220388,215.5220388,0,1,1,0,0,0,0,1,0,5,1,1,40.7720402,-73.9611857
1-01409-7502,0573-R1,1040 LEXINGTON AVENUE,UPPER EAST SIDE (59-79),R9  -CONDOPS,55,1929,"117,892","5,744,877",48.73,523.9784946,"1,808,463",15.34,"3,936,414","31,684,000",268.75,2018,3,47,215.5220388,215.5220388,0,1,1,0,0,0,0,0,1,5,1,1,40.7720402,-73.9611857
1-01548-7501,0585-R1,320 EAST 86 STREET,UPPER EAST SIDE (79-96),R9-CONDOPS,27,1925,"16,350","712,533",43.58,468.6021505,"249,828",15.28,"462,705","3,703,000",226.48,2016,1,873,462.5259492,83.59947685,378.9264724,1,1,0,0,0,1,0,0,5,2,1,40.7772142,-73.9510139
1-01548-7501,0585-R1,320 EAST 86 STREET,UPPER EAST SIDE (79-96),R9-CONDOPS,27,1925,"16,350","681,795",41.7,448.3870968,"225,794",13.81,"456,001","3,648,000",223.12,2017,2,873,462.5259492,83.59947685,378.9264724,1,1,0,0,0,0,1,0,5,2,1,40.7772142,-73.9510139
1-01548-7501,0585-R1,320 EAST 86 STREET,UPPER EAST SIDE (79-96),R9  -CONDOPS,27,1925,"16,350","735,750",45,483.8709677,"219,417",13.42,"516,333","4,156,000",254.19,2018,3,873,462.5259492,83.59947685,378.9264724,1,1,0,0,0,0,0,1,5,2,1,40.7772142,-73.9510139
1-01473-7502,0593-R1,460 EAST 79 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,122,1960,"141,945","5,775,742",40.69,437.5268817,"2,200,148",15.5,"3,575,594","28,612,000",201.57,2016,1,1146,793.1000554,699.5146196,93.5854358,1,1,0,0,0,1,0,0,3,2,1,40.7712538,-73.950858
1-01473-7502,0593-R1,460 EAST 79 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,122,1960,"141,945","6,079,504",42.83,460.5376344,"2,310,865",16.28,"3,768,639","30,152,006",212.42,2017,2,1146,793.1000554,699.5146196,93.5854358,1,1,0,0,0,0,1,0,3,2,1,40.7712538,-73.950858
1-01473-7502,0593-R1,460 EAST 79 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,122,1960,"141,945","5,875,104",41.39,445.0537634,"1,980,133",13.95,"3,894,971","31,350,000",220.86,2018,3,1146,793.1000554,699.5146196,93.5854358,1,1,0,0,0,0,0,1,3,2,1,40.7712538,-73.950858
1-01381-7503,0598-R1,44 EAST 67 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,46,1941,"62,196","2,406,985",38.7,416.1290323,"653,680",10.51,"1,753,305","14,030,001",225.58,2016,1,1119,273.971554,273.971554,0,1,1,0,0,0,1,0,0,6,1,1,40.7680999,-73.9670545
1-01381-7503,0598-R1,44 EAST 67 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,46,1941,"62,196","2,500,279",40.2,432.2580645,"633,777",10.19,"1,866,502","14,930,996",240.06,2017,2,1119,273.971554,273.971554,0,1,1,0,0,0,0,1,0,6,1,1,40.7680999,-73.9670545
1-01381-7503,0598-R1,44 EAST 67 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,46,1941,"62,196","2,514,584",40.43,434.7311828,"661,765",10.64,"1,852,819","14,912,996",239.77,2018,3,1119,273.971554,273.971554,0,1,1,0,0,0,0,0,1,6,1,1,40.7680999,-73.9670545
1-01569-7502,0605-R1,401 EAST 89 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,197,1963,"196,737","7,306,812",37.14,399.3548387,"3,387,811",17.22,"3,919,001","31,359,987",159.4,2016,1,1040,699.2660595,383.3052045,315.960855,1,1,0,0,0,1,0,0,4,2,1,40.7788108,-73.9473227
1-01569-7502,0605-R1,401 EAST 89 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,197,1963,"196,737","7,672,743",39,419.3548387,"3,452,734",17.55,"4,220,009","33,756,995",171.58,2017,2,1040,699.2660595,383.3052045,315.960855,1,1,0,0,0,0,1,0,4,2,1,40.7788108,-73.9473227
1-01569-7502,0605-R1,401 EAST 89 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,197,1963,"196,737","7,647,167",38.87,417.9569892,"2,956,957",15.03,"4,690,210","37,751,006",191.89,2018,3,1040,699.2660595,383.3052045,315.960855,1,1,0,0,0,0,0,1,4,2,1,40.7788108,-73.9473227
1-01483-7501,0610-R1,524 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,146,1989,"233,223","11,630,831",49.87,536.2365591,"4,279,642",18.35,"7,351,189","58,823,999",252.22,2016,1,1207,989.6378942,595.9812555,393.6566387,1,1,0,0,0,1,0,0,2,1,1,40.7659999,-73.9523318
1-01483-7501,0610-R1,524 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,146,1989,"233,223","11,805,748",50.62,544.3010753,"4,249,323",18.22,"7,556,425","60,441,000",259.16,2017,2,1207,989.6378942,595.9812555,393.6566387,1,1,0,0,0,0,1,0,2,1,1,40.7659999,-73.9523318
1-01483-7501,0610-R1,524 EAST 72 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,146,1989,"233,223","12,227,882",52.43,563.7634409,"4,484,878",19.23,"7,743,004","62,323,003",267.22,2018,3,1207,989.6378942,595.9812555,393.6566387,1,1,0,0,0,0,0,1,2,1,1,40.7659999,-73.9523318
1-01393-7501,0637-R1,3 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,13,1910,"14,977","736,269",49.16,528.6021505,"281,568",18.8,"454,701","3,638,002",242.91,2016,1,751,418.0744969,418.0744969,0,1,1,0,0,0,1,0,0,4,1,1,40.7761853,-73.9633855
1-01393-7501,0637-R1,3 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,13,1910,"14,977","856,535",57.19,614.9462366,"371,130",24.78,"485,405","3,883,002",259.26,2017,2,751,418.0744969,418.0744969,0,1,1,0,0,0,0,1,0,4,1,1,40.7761853,-73.9633855
1-01393-7501,0637-R1,3 EAST 78 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,13,1910,"14,977","789,288",52.7,566.6666667,"322,305",21.52,"466,983","3,759,000",250.98,2018,3,751,418.0744969,418.0744969,0,1,1,0,0,0,0,0,1,4,1,1,40.7761853,-73.9633855
1-01458-7502,0645-R1,1175 YORK AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,238,1958,"304,510","11,434,351",37.55,403.7634409,"4,226,599",13.88,"7,207,752","57,676,000",189.41,2016,1,138,669.4832308,669.4832308,0,1,1,0,0,0,1,0,0,4,1,1,40.7615369,-73.9579786
1-01458-7502,0645-R1,1175 YORK AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,238,1958,"304,510","11,635,327",38.21,410.8602151,"4,418,440",14.51,"7,216,887","57,730,000",189.58,2017,2,138,669.4832308,669.4832308,0,1,1,0,0,0,0,1,0,4,1,1,40.7615369,-73.9579786
1-01458-7502,0645-R1,1175 YORK AVENUE,UPPER EAST SIDE (59-79),R9  -CONDOPS,238,1958,"304,510","12,600,624",41.38,444.9462366,"4,725,995",15.52,"7,874,629","63,382,000",208.14,2018,3,138,669.4832308,669.4832308,0,1,1,0,0,0,0,0,1,4,1,1,40.7615369,-73.9579786
1-01469-7501,0649-R1,401 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,251,1962,"273,109","11,705,452",42.86,460.8602151,"4,276,887",15.66,"7,428,565","59,437,000",217.63,2016,1,1038,691.4170478,350.0294497,341.3875981,1,1,0,0,0,1,0,0,3,1,1,40.7689716,-73.9543069
1-01469-7501,0649-R1,401 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,251,1962,"273,109","13,169,316",48.22,518.4946237,"5,363,861",19.64,"7,805,455","62,433,000",228.6,2017,2,1038,691.4170478,350.0294497,341.3875981,1,1,0,0,0,0,1,0,3,1,1,40.7689716,-73.9543069
1-01469-7501,0649-R1,401 EAST 74 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,251,1962,"273,109","13,207,551",48.36,520,"4,323,315",15.83,"8,884,236","71,509,000",261.83,2018,3,1038,691.4170478,350.0294497,341.3875981,1,1,0,0,0,0,0,1,3,1,1,40.7689716,-73.9543069
1-01395-7503,0667-R1,525 PARK AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,48,1915,"100,093","4,592,267",45.88,493.3333333,"1,649,533",16.48,"2,942,734","23,547,998",235.26,2016,1,1212,128.2539884,128.2539884,0,1,1,0,0,0,1,0,0,4,0,0,40.7638176,-73.9687091
1-01395-7503,0667-R1,525 PARK AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,48,1915,"100,093","4,494,176",44.9,482.7956989,"1,523,415",15.22,"2,970,761","23,763,999",237.42,2017,2,1212,128.2539884,128.2539884,0,1,1,0,0,0,0,1,0,4,0,0,40.7638176,-73.9687091
1-01395-7503,0667-R1,525 PARK AVENUE,UPPER EAST SIDE (59-79),R4  -ELEVATOR,48,1915,"100,093","4,477,160",44.73,480.9677419,"1,500,394",14.99,"2,976,766","23,960,002",239.38,2018,3,1212,128.2539884,128.2539884,0,1,1,0,0,0,0,0,1,4,0,0,40.7638176,-73.9687091
1-01473-7503,0673-R1,399 1 AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,36,1910,"21,145","947,507",44.81,481.827957,"329,439",15.58,"618,068","4,946,000",233.91,2016,1,1015,2493.618934,2493.618934,0,1,1,0,0,0,1,0,0,0,0,0,40.8025211,-73.9308772
1-01473-7503,0673-R1,399 1 AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,36,1910,"21,145","968,652",45.81,492.5806452,"323,307",15.29,"645,345","5,162,000",244.12,2017,2,1015,2493.618934,2493.618934,0,1,1,0,0,0,0,1,0,0,0,0,40.8025211,-73.9308772
1-01473-7503,0673-R1,399 1 AVENUE,UPPER EAST SIDE (59-79),R9  -CONDOPS,36,1910,"21,145","974,362",46.08,495.483871,"315,061",14.9,"659,301","5,307,000",250.98,2018,3,1015,2493.618934,2493.618934,0,1,1,0,0,0,0,0,1,0,0,0,40.8025211,-73.9308772
1-01448-7501,0682-R1,340 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,121,1957,"119,227","4,622,431",38.77,416.8817204,"1,645,333",13.8,"2,977,098","23,823,000",199.81,2016,1,956,590.2386208,232.8392442,357.3993766,1,1,0,0,0,1,0,0,4,1,1,40.7692535,-73.9557821
1-01448-7501,0682-R1,340 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,121,1957,"119,227","4,635,546",38.88,418.0645161,"1,622,679",13.61,"3,012,867","24,103,000",202.16,2017,2,956,590.2386208,232.8392442,357.3993766,1,1,0,0,0,0,1,0,4,1,1,40.7692535,-73.9557821
1-01448-7501,0682-R1,340 EAST 74 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,121,1957,"119,227","5,445,097",45.67,491.0752688,"1,993,475",16.72,"3,451,622","27,782,000",233.02,2018,3,956,590.2386208,232.8392442,357.3993766,1,1,0,0,0,0,0,1,4,1,1,40.7692535,-73.9557821
1-01467-7501,0687-R1,1356 1 AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,28,1910,"19,747","665,671",33.71,362.4731183,"187,004",9.47,"478,667","3,830,000",193.95,2016,1,234,703.713834,267.5484159,436.1654181,1,1,0,0,0,1,0,0,4,1,1,40.7682624,-73.9553227
1-01467-7501,0687-R1,1356 1 AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,28,1910,"19,747","669,818",33.92,364.7311828,"205,369",10.4,"464,449","3,715,000",188.13,2017,2,234,703.713834,267.5484159,436.1654181,1,1,0,0,0,0,1,0,4,1,1,40.7682624,-73.9553227
1-01467-7501,0687-R1,1356 1 AVENUE,UPPER EAST SIDE (59-79),R4  -ELEVATOR,28,1910,"19,747","759,667",38.47,413.655914,"254,934",12.91,"504,733","4,058,996",205.55,2018,3,234,703.713834,267.5484159,436.1654181,1,1,0,0,0,0,0,1,4,1,1,40.7682624,-73.9553227
1-01441-7501,0693-R1,301 EAST 66 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,204,1956,"203,938","9,797,182",48.04,516.5591398,"3,356,819",16.46,"6,440,363","51,534,996",252.7,2016,1,772,380.9762822,380.9762822,0,1,1,0,0,0,1,0,0,6,1,1,40.7650158,-73.9607667
1-01441-7501,0693-R1,301 EAST 66 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,204,1956,"203,938","10,427,350",51.13,549.7849462,"3,911,531",19.18,"6,515,819","52,122,005",255.58,2017,2,772,380.9762822,380.9762822,0,1,1,0,0,0,0,1,0,6,1,1,40.7650158,-73.9607667
1-01441-7501,0693-R1,301 EAST 66 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,204,1956,"203,938","10,568,067",51.82,557.2043011,"3,797,326",18.62,"6,770,741","54,496,999",267.22,2018,3,772,380.9762822,380.9762822,0,1,1,0,0,0,0,0,1,6,1,1,40.7650158,-73.9607667
1-01532-7501,0706-R1,225 EAST 86 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,60,1981,"59,228","2,655,191",44.83,482.0430108,"658,023",11.11,"1,997,168","15,981,009",269.82,2016,1,584,263.6684601,123.6724421,139.996018,1,1,0,0,0,1,0,0,5,2,1,40.7785552,-73.9527208
1-01532-7501,0706-R1,225 EAST 86 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,60,1981,"59,228","2,518,967",42.53,457.311828,"577,473",9.75,"1,941,494","15,531,008",262.22,2017,2,584,263.6684601,123.6724421,139.996018,1,1,0,0,0,0,1,0,5,2,1,40.7785552,-73.9527208
1-01532-7501,0706-R1,225 EAST 86 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,60,1981,"59,228","2,646,899",44.69,480.5376344,"546,674",9.23,"2,100,225","16,905,003",285.42,2018,3,584,263.6684601,123.6724421,139.996018,1,1,0,0,0,0,0,1,5,2,1,40.7785552,-73.9527208
1-01450-7501,0707-R1,333 EAST 75 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,125,1961,"91,143","3,938,289",43.21,464.6236559,"1,369,879",15.03,"2,568,410","20,552,000",225.49,2016,1,942,537.8344192,316.9503924,220.8840268,1,1,0,0,0,1,0,0,4,2,1,40.770196,-73.9552464
1-01450-7501,0707-R1,333 EAST 75 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,125,1961,"91,143","3,595,591",39.45,424.1935484,"1,222,228",13.41,"2,373,363","18,983,000",208.28,2017,2,942,537.8344192,316.9503924,220.8840268,1,1,0,0,0,0,1,0,4,2,1,40.770196,-73.9552464
1-01450-7501,0707-R1,333 EAST 75 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,125,1961,"91,143","4,284,632",47.01,505.483871,"1,632,371",17.91,"2,652,261","21,348,000",234.23,2018,3,942,537.8344192,316.9503924,220.8840268,1,1,0,0,0,0,0,1,4,2,1,40.770196,-73.9552464
1-01458-7503,0720-R1,425 EAST 63 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,495,1956,"456,286","16,928,211",37.1,398.9247312,"4,927,889",10.8,"12,000,322","96,026,000",210.45,2016,1,1092,605.0286244,605.0286244,0,1,1,0,0,0,1,0,0,4,1,1,40.7617185,-73.9587133
1-01458-7503,0720-R1,425 EAST 63 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,495,1956,"456,286","16,951,025",37.15,399.4623656,"6,100,544",13.37,"10,850,481","86,782,000",190.19,2017,2,1092,605.0286244,605.0286244,0,1,1,0,0,0,0,1,0,4,1,1,40.7617185,-73.9587133
1-01458-7503,0720-R1,425 EAST 63 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,495,1956,"456,286","17,863,597",39.15,420.9677419,"6,410,818",14.05,"11,452,779","92,183,000",202.03,2018,3,1092,605.0286244,605.0286244,0,1,1,0,0,0,0,0,1,4,1,1,40.7617185,-73.9587133
1-01543-7501,0726-R1,345 EAST 80 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,328,1973,"331,552","14,986,150",45.2,486.0215054,"5,672,855",17.11,"9,313,295","74,523,993",224.77,2016,1,975,611.73821,481.9130261,129.8251839,1,1,0,0,0,1,0,0,4,2,1,40.7734898,-73.9524729
1-01543-7501,0726-R1,345 EAST 80 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,328,1973,"331,552","15,384,013",46.4,498.9247312,"5,692,748",17.17,"9,691,265","77,528,995",233.84,2017,2,975,611.73821,481.9130261,129.8251839,1,1,0,0,0,0,1,0,4,2,1,40.7734898,-73.9524729
1-01543-7501,0726-R1,345 EAST 80 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,328,1973,"331,552","15,662,516",47.24,507.9569892,"5,825,369",17.57,"9,837,147","79,179,004",238.81,2018,3,975,611.73821,481.9130261,129.8251839,1,1,0,0,0,0,0,1,4,2,1,40.7734898,-73.9524729
1-01397-7503,0733-R1,166 EAST 63 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,157,1959,"204,524","10,406,181",50.88,547.0967742,"3,411,460",16.68,"6,994,721","55,970,993",273.66,2016,1,354,7.057597223,7.057597223,0,1,1,0,0,0,1,0,0,5,1,1,40.7640866,-73.9651703
1-01397-7503,0733-R1,166 EAST 63 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,157,1959,"204,524","10,878,632",53.19,571.9354839,"3,585,306",17.53,"7,293,326","58,341,993",285.26,2017,2,354,7.057597223,7.057597223,0,1,1,0,0,0,0,1,0,5,1,1,40.7640866,-73.9651703
1-01397-7503,0733-R1,166 EAST 63 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,157,1959,"204,524","10,813,184",52.87,568.4946237,"3,785,739",18.51,"7,027,445","56,562,991",276.56,2018,3,354,7.057597223,7.057597223,0,1,1,0,0,0,0,0,1,5,1,1,40.7640866,-73.9651703
1-01466-7501,0741-R1,422 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,204,1990,"322,581","16,409,695",50.87,546.9892473,"5,838,716",18.1,"10,570,979","84,588,008",262.22,2016,1,1086,755.023442,355.5623859,399.4610561,1,1,0,0,0,1,0,0,4,1,1,40.7669153,-73.9549414
1-01466-7501,0741-R1,422 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,204,1990,"322,581","16,306,470",50.55,543.5483871,"5,545,167",17.19,"10,761,303","86,091,010",266.88,2017,2,1086,755.023442,355.5623859,399.4610561,1,1,0,0,0,0,1,0,4,1,1,40.7669153,-73.9549414
1-01466-7501,0741-R1,422 EAST 72 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,204,1990,"322,581","17,219,374",53.38,573.9784946,"6,238,717",19.34,"10,980,657","88,383,005",273.99,2018,3,1086,755.023442,355.5623859,399.4610561,1,1,0,0,0,0,0,1,4,1,1,40.7669153,-73.9549414
1-01521-7501,0742-R1,134 EAST 93 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,30,1989,"43,060","1,887,750",43.84,471.3978495,"615,758",14.3,"1,271,992","10,178,002",236.37,2016,1,224,271.0218862,271.0218862,0,1,1,0,0,0,1,0,0,4,2,1,40.7839082,-73.9526021
1-01521-7501,0742-R1,134 EAST 93 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,30,1989,"43,060","2,030,279",47.15,506.9892473,"638,149",14.82,"1,392,130","11,136,000",258.62,2017,2,224,271.0218862,271.0218862,0,1,1,0,0,0,0,1,0,4,2,1,40.7839082,-73.9526021
1-01521-7501,0742-R1,134 EAST 93 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,30,1989,"43,060","1,924,351",44.69,480.5376344,"388,401",9.02,"1,535,950","12,363,000",287.11,2018,3,224,271.0218862,271.0218862,0,1,1,0,0,0,0,0,1,4,2,1,40.7839082,-73.9526021
1-01423-7501,0765-R1,200 EAST 69 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,276,1991,"408,657","23,256,670",56.91,611.9354839,"7,396,692",18.1,"15,859,978","126,910,003",310.55,2016,1,458,178.6649437,178.6649437,0,1,1,0,0,0,1,0,0,6,1,1,40.76751,-73.961754
1-01423-7501,0765-R1,200 EAST 69 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,276,1991,"408,657","24,772,787",60.62,651.827957,"7,421,211",18.16,"17,351,576","138,802,002",339.65,2017,2,458,178.6649437,178.6649437,0,1,1,0,0,0,0,1,0,6,1,1,40.76751,-73.961754
1-01423-7501,0765-R1,200 EAST 69 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,276,1991,"408,657","24,805,480",60.7,652.688172,"7,523,375",18.41,"17,282,105","139,103,001",340.39,2018,3,458,178.6649437,178.6649437,0,1,1,0,0,0,0,0,1,6,1,1,40.76751,-73.961754
1-01550-7501,0768-R1,360 EAST 88 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,163,1988,"273,330","15,393,946",56.32,605.5913978,"4,993,739",18.27,"10,400,207","83,221,995",304.47,2016,1,1006,581.2730171,236.1313113,345.1417058,1,1,0,0,0,1,0,0,4,2,1,40.7781672,-73.9489094
1-01550-7501,0768-R1,360 EAST 88 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,163,1988,"273,330","15,451,345",56.53,607.8494624,"4,788,742",17.52,"10,662,603","85,284,972",312.02,2017,2,1006,581.2730171,236.1313113,345.1417058,1,1,0,0,0,0,1,0,4,2,1,40.7781672,-73.9489094
1-01550-7501,0768-R1,360 EAST 88 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,163,1988,"273,330","15,656,342",57.28,615.9139785,"5,278,002",19.31,"10,378,340","83,534,998",305.62,2018,3,1006,581.2730171,236.1313113,345.1417058,1,1,0,0,0,0,0,1,4,2,1,40.7781672,-73.9489094
